"Forfatter-Escritor","Land-País","Tittel1-Título","1","Sjanger-Género","Oversetter-Traductor","Tittel2-Título","Utgivelsessted-Lugar de publicación","Utgivelsesår2-Año de publicación","Forlag-Editorial","For- eller Etterord-Prólogo o Epílogo","Språk-Idioma"
"Muñoz Molina, Antonio (1956)","España","Sefarad","2001","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Sefarad","Oslo","2003, 2004","Gyldendal","","Norsk bokmål/Noruego"
"Navarro, Julia (1953)","España","La hermandad de la Sábana Santa","2004","Roman/Novela","Kemény, Kari","Det tause brorskap","Oslo","2006","Bazar","","Norsk bokmål/Noruego"
"Pérez Reverte, Arturo (1951)","España","La tabla de Flandes","1990","Roman/Novela","Hammer, Hege","Det flamske maleriet","Oslo","2003","Aschehoug","","Norsk bokmål/Noruego"
"Pérez-Reverte, Arturo (1951)","España","La piel del tambor","1995","Roman/Novela","Hammer, Hege","Trommeskinnet","Oslo","1998, 1999","Aschehoug","","Norsk bokmål/Noruego"
"Pérez-Reverte, Arturo (1951)","España","La reina del sur","2002","Roman/Novela","Hammer, Hege","Sydens dronning","Oslo","2005","Aschehoug","","Norsk bokmål/Noruego"
"Pombo, Álvaro (1939)","España","Donde las mujeres","1996","Roman/Novela","Worren, Arne","Der kvinner er","Oslo","1998","Aschehoug","","Norsk bokmål/Noruego"
"Prada, Juan Manuel de (1970)","España","Coños","1995","Roman/Novela","Kemény, Kari","Fitter","Oslo","2003","Spartacus","","Norsk bokmål/Noruego"
"Ruiz Zafón, Carlos (1964)","España","La sombra del viento","2000","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Vindens skygge","Oslo","2004, 2005, 2012","Gyldendal","","Norsk bokmål/Noruego"
"Ruiz Zafón, Carlos (1964)","España","El juego del ángel","2008","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Engelens spill","Oslo","2008, 2012","Gyldendal","","Norsk bokmål/Noruego"
"Sierra, Javier (1971)","España","La cena secreta","2004","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Den hemmelige nattverden","Oslo","2006, 2007","Bazar","","Norsk bokmål/Noruego"
"Torrente Ballester, Gonzalo (1910-1999)","España","Crónica del rey pasmado","1989","Roman/Novela","Solum, Kristina","Historien om den forbløffede kongen","Oslo","2003","Solum","","Norsk bokmål/Noruego"
"Vázquez Montalbán, Manuel (1939-2003)","España","Los mares del sur","1978","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Sydhavet","Oslo","1991, 1992","Cappelen","","Norsk bokmål/Noruego"
"Vázquez Montalbán, Manuel (1939-2003)","España","El delantero centro fue asesinado al atardecer","1988","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Varslet mord","Oslo","1990, 1991","Cappelen","","Norsk bokmål/Noruego"
"Vila-Matas, Enrique (1948)","España","El viaje vertical","1999","Roman/Novela","Rugstad, Christian","Den vertikale reisen","Oslo","2002","Solum","","Norsk bokmål/Noruego"
"Vila-Matas, Enrique (1948)","España","Bartleby y compañía","2000","Roman/Novela","Rugstad, Christian","Bartleby&Co","Oslo","2003","Solum","","Norsk bokmål/Noruego"
"Vila-Matas, Enrique (1948)","España","Historia abreviada de la literatura portátil","1985","Roman/Novela","Rugstad, Christian","Kortfattet innføring i den bærbare litteraturen","Oslo","2006","Solum","","Norsk bokmål/Noruego"
"Martí, José (1853-1895)","Cuba","Med stjerneskrift (Selección de poemas)","0","Lyrikk/Poesía","Lorentzen, Jon O.","Med stjerneskrift","Stavanger","2008","Wigestrand","Ohldieck, Hans Jacob (Etterord/Epílogo)","Nynorsk/Nuevo noruego"
"Mistral, Gabriela (1889-1957)","Chile","Alle skulle bli dronning (Selección de poemas)","0","Lyrikk/Poesía","Bakke, Tove","Alle skulle bli dronning","Oslo","2007","Samlaget","","Nynorsk/Nuevo noruego"
"García Lorca, Federico (1898-1936)","España","Doña Rosita la soltera o el lenguaje de las flores","1935","Drama/Teatro","Bakke, Tove","Frøken Rosita, eller Blomsterspråket ; Bernarda Albas hus : to skodespel ","Oslo","2007","Samlaget","","Nynorsk/Nuevo noruego"
"García Lorca, Federico (1898-1936)","España","La casa de Bernarda Alba","1936","Drama/Teatro","Bakke, Tove","Frøken Rosita, eller Blomsterspråket ; Bernarda Albas hus : to skodespel ","Oslo","2007","Samlaget","","Nynorsk/Nuevo noruego"
"Pizarnik, Alejandra (1936-1972)","Argentina","Selección de poemas de los libros: Arbol de Diana (1962), Los trabajos y las noches (1965), Extracción de la piedra de la locura (1968)","0","Lyrikk/Poesía","Bakke, Tove","Ho som reiser med tomt glas ","Oslo","2004","Cappelen","","Nynorsk/Nuevo noruego"
"Neruda, Pablo (1904-1973)","Chile","Los versos del capitán","1952","Lyrikk/Poesía","Fløgstad, Kjartan","Kapteinens vers","Oslo","2004","Den norske lyrikklubben","Izquierdo, José María (Etterord/Epílogo)","Nynorsk/Nuevo noruego"
"Piñera Llera, Virgilio (1912-1979)","Cuba","Cuentos fríos","1956","Novelle/Cuento","Bakke, Tove","Kaldt fortalt: noveller","Oslo","2004","Samlaget","","Nynorsk/Nuevo noruego"
"Neruda, Pablo (1904-1973)","Chile","Los versos del capitán","1952","Lyrikk/Poesía","Fløgstad, Kjartan","Kapteinens vers","Oslo","2003","Solum","Izquierdo, José María (Etterord/Epílogo)","Nynorsk/Nuevo noruego"
"Loynaz, Dulce María (1902-1997)","Cuba","Versos (1950), Juegos de agua (1951), Poemas sin nombre (1953), Bestiarium (1991)","0","Lyrikk/Poesía","Bakke, Tove","Svart vin: dikt","Oslo","1999","Cappelen","","Nynorsk/Nuevo noruego"
"García Lorca, Federico (1898-1936)","España","La casa de Bernarda Alba","1936","Drama/Teatro","Bakke, Tove","Bernarda Albas hus : drama om kvinner i spanske landsbyar ","Bergen","1998","Den nationale scene","","Nynorsk/Nuevo noruego"
"García Lorca, Federico (1898-1936)","España","Appelsin og sitron: dikt for barn og andre (Selección de poemas)","0","Lyrikk/Poesía","Bakke, Tove","Appelsin og sitron: dikt for barn og andre ","Oslo","1998","Samlaget","","Nynorsk/Nuevo noruego"
"Vega, Lope de (1562-1635)","España","Fuenteovejuna","161318","Drama/Teatro","Hoem, Edvard","Historia om ein landsby","Oslo","1997","Det norske teatret","","Nynorsk/Nuevo noruego"
"Anónimo","España","La vida de Lazarillo de Tormes y de sus fortunas y adversidades ","1554","Roman/Novela","Fløgstad, Kjartan","Vesle Lasarus frå Tormes: hans medgang og motgang i livet ","Oslo","1992","Samlaget","","Nynorsk/Nuevo noruego"
"García Lorca, Federico (1898-1936)","España","La casa de Bernarda Alba","1936","Drama/Teatro","Skagestad, Tormod","Bernarda Albas hus : drama om kvinnene i spanske landsbyar ","Oslo","1992","Det norske teatret","","Nynorsk/Nuevo noruego"
"Pavlovsky, Eduardo (1933)","Argentina","Potestad","1985","Drama/Teatro","Nesse, Åse-Marie","Matapparatet","Oslo","1990","Det norske teatret","","Nynorsk/Nuevo noruego"
"Martín Descalzo, José Luis (1930-1991)","España","Las prostitutas os precederán en el reino de los cielos ","1986","Drama/Teatro","Losnegård, Rolf (fra dansk)","Nytt år for Rosa : ... dei prostituerte går først inn i Guds rike (Sjå Matteus vers 21-31): ... eit skodespel i 2 akter","Førde","1987","Sogn og Fjordane teater","","Nynorsk/Nuevo noruego"
"Nogueras, Luis Rogelio (1944-1985)","Cuba","Y si muero mañana","1978","Roman/Novela","Fløgstad, Kjartan","Kodemelding til Havanna ","Oslo","1984","Samlaget","","Nynorsk/Nuevo noruego"
"Anónimo","España","La vida de Lazarillo de Tormes y de sus fortunas y adversidades ","1554","Roman/Novela","Skard, Sigmund","Vesle Lasarus frå Tormes: hans medgang og motgang i livet ","Oslo","1976","Samlaget","","Nynorsk/Nuevo noruego"
"Vega, Lope de (1562-1635)","España","El caballero de Olmedo","1620","Drama/Teatro","Näumann, Kari","Ridderen fra Olmedo","Oslo","2001","Bokvennen","Worren, Arne (Innledning/Introducción)","Norsk bokmål/Noruego"
"Vargas Llosa, Mario (1936)","Perú","El sueño del celta","2010","Roman/Novela","Risvik, Kari og/y Kjell Risvik","Kelterens drøm","Oslo","2011","Gyldendal","","Norsk bokmål/Noruego"
"Palma, Félix J. (1968)","España","El mapa del tiempo","2008","Roman/Novela","Solum, Kristina","Tidskartet","Oslo","2011, 2012","Cappelen Damm","","Norsk bokmål/Noruego"
"Llorens, Chufo (1931)","España","Te daré la tierra","2011","Roman/Novela","Rugstad, Christian","Jeg vil gi deg jorden","Oslo","2011","Bazar","","Norsk bokmål/Noruego"
"Guerra, Wendy (1970)","Cuba","Todos se van","2006","Roman/Novela","Näumann, Kari","Alle drar sin vei","Oslo","2011, 2014","Bokvennen","Ohldieck, Hans Jacob (Etterord/Epílogo)","Norsk bokmål/Noruego"
"Restrepo, Laura (1950)","Colombia","Dulce compañía","1995","Roman/Novela","Hammer, Hege","Engelen fra Galilea","Oslo","2011","Juritzen","","Norsk bokmål/Noruego"
"Berman, Sabina (1955)","México","La mujer que buceó dentro del corazón del mundo","2010","Roman/Novela","Solum, Kristina","Jenta som dykket inn i jordas indre / Jeg som dykket inn i jordas indre","Oslo","2011 / 2013","Aschehoug","","Norsk bokmål/Noruego"
"Neruda, Pablo (1904-1973)","Chile","Canto general","1950","Lyrikk/Poesía ","Roll, Halvor, Kjartan Fløgstad og/y Finn Aasen","Den store sangen","Oslo","2004","Den norske bokklubbene","","Nynorsk/Nuevo  noruego "
"Gómez-Jurado, Juan (1977)","España","El emblema del traidor","2008","Roman/Novela ","Kristiansen, Halvor","Forræderens emblem","Oslo","2011","Gyldendal","","Norsk bokmål/Noruego"
"Allende, Isabel (1942) ","Chile","El cuaderno de Maya","20112012","Roman/Novela","Risvik,  Kari  og/y  Kjell  Risvik ","Maya","Oslo","2011, 2012","Gyldendal","","Norsk bokmål/Noruego"
"Giménez Bartlett, Alicia (1959) ","España","Nido vacío","2007","Roman/Novela","Hagerup, Henning","Tomt rede","Oslo","2011","Juritzen","","Norsk bokmål/Noruego"
"Baroja, Pío (1872-1956)","España","Camino de perfección","1902","Roman/Novela","Grønvold, Magnus","En svermers botsgang","Oslo","1929","Aschehoug","","Norsk bokmål/Noruego"
"Cervantes Saavedra, Miguel de (1547-1616)","España","El ingenioso hidalgo don Quijote de la Mancha ","16051615","Roman/Novela","Grønvold, Magnus","Don Quijote","Oslo","1958","Gyldendal","","Norsk bokmål/Noruego"
"Cruz, Juan de la (1542-1591)","España","Llama de amor viva","1584","Lyrikk/Poesía","Gundelach, Kristen og Aasmund Brynhildsen","Den levende kjærlighets flamme","Oslo","1962","Dreyer","","Norsk bokmål/Noruego"
"Cervantes Saavedra, Miguel de (1547-1616)","España","El  ingenioso  hidalgo  don  Quijote  de  la  Mancha ","16051615","Roman/Novela","Kjær, Nils og Magnus Grønvold","Don Quijote : den skarpsindige adelsmand Don Quijote av la Mancha ","Oslo","1975, 1978, 1989, 1995","Gyldendal","Sletsjøe, Leig (Innledning/Introducción) og Nils Kjæt (Epistel/Epístola)","Norsk bokmål/Noruego"
"García Lorca, Federico (1898-1936) ","España","Bodas de sangre","1931","Drama/Teatro","Tønseth, Jan Jakob","Blodbryllup : tragedie i tre akter ","Oslo","1976","Nationaltheatret","","Norsk bokmål/Noruego"
"Borges, Jorge Luis (1899-1986)","Argentina","El libro de arena","1975","Novelle/Cuento","Lange, Mona","Kongressen","Oslo","1978","Cappelen","Angell, Olav (Forord/Prólogo)","Norsk bokmål/Noruego"
"Aleixandre, Vicente (1898-1984)","España","La destrucción o el amor","1935","Lyrikk/Poesía","Hansen, Inger Elisabeth","Undergang eller kjærlighet","Oslo","1978","Aschehoug","","Norsk bokmål/Noruego"
"Barca, Calderón de la (1600-1681)","España","Casa con dos puertas, mala es de guardar","1629","Drama/Teatro","Bjerke, André","Hus med dobbelt inngang","Oslo","1979","Solum","","Norsk bokmål/Noruego"
"Jiménez, Juan Ramón (1881-1958)","España","Platero y yo","1917","Lyrikk/Poesía","Ness, Astrid Mercedes","Sølvfell og jeg","Oslo","1981","Solum","","Norsk bokmål/Noruego"
"Unamuno, Miguel de (1864-1936)","España","San Manuel Bueno, mártir","1930","Roman/Novela","Tønseth, Jan Jakob","Martyren, den gode San Manuel","Oslo","1986","Dreyer","Tønseth, Jan Jakob (Innledning/Introducción)","Norsk bokmål/Noruego"
"Cervantes Saavedra, Miguel de (1547-1616)","España","Rinconete y Cortadillo","1613","Roman/Novela","Worren, Arne","Rinconete og Cortadillo","Oslo","1991","Solum","Worren, Arne (Etterord/Epílogo)","Norsk bokmål/Noruego"
"García Lorca, Federico (1898-1936) ","España","Poeta en Nueva York","1940","Lyrikk/Poesía","Dahl, Niels Fredrik","Dikter i New York","Oslo","1991","Cappelen","","Norsk bokmål/Noruego"
"Anónimo","España","La vida de Lazarillo de Tormes, y de sus fortunas y adversidades","1554","Roman/Novela","Berdal, Olaug","Lazarillo de Tormes : hans liv og levnet i medgang og motgang ","Oslo","1992","Aschehoug","Berdal, Olaug (Forord/Prólogo, Etterord/Epílogo og Noter/Anotaciones)","Norsk bokmål/Noruego"
"Alas Clarín, Leopoldo (1852-1901)","España","La Regenta","18845","Roman/Novela","Worren Arne","Rettspresidentens hustru","Oslo","1995-7","Solum","","Norsk bokmål/Noruego"
"Cervantes Saavedra, Miguel de (1547-1616)","España","Novelas ejemplares","1613","Roman/Novela","Worren, Arne","Eksemplariske noveller : et utvalg ","Oslo","1995, 2003","Gyldendal","Worren, Arne (Etterord/Epílogo)","Norsk bokmål/Noruego"
"Ponce de León, Napoleón Baccino (1947)","Uruguay","Un amor de Bangkok","1994","Roman/Novela","Rugstad, Christian","En hjertevenn i Bangkok ","Oslo","1996","Cappelen","","Norsk bokmål/Noruego"
"Zúñiga, Juan Eduardo (1929)","España","Largo noviembre en Madrid","1980","Novelle/Cuento","Rugstad, Christian","Lang november i Madrid ","Oslo","1998","Gyldendal","","Norsk bokmål/Noruego"
"Cervantes Saavedra, Miguel de  (1547-1616)","España","El ingenioso hidalgo don Quijote de la Mancha ","16051615","Roman/Novela","Kjær, Nils og Magnus Grønvold","Don Quijote : den skarpsindige adelsmand Don Quijote av La Mancha ","Kristiania","1916-18","Cammermeyer","","Norsk bokmål/Noruego"
"Molina, Tirso de (1579-1648)","España","El burlador de Sevilla y convidado de piedra","1630","Drama/Teatro","Näumann, Kari","Don Juan fra Sevilla og stengjesten ","Oslo","1998","Bokvennen","Roland, Per Øystein (Innledning/Introducción)","Norsk bokmål/Noruego"
"Pérez Galdós, Benito (1843-1920)","España","Fortunata y Jacinta","18867","Roman/Novela","Risvik,  Kari  og/y  Kjell  Risvik ","Fortunata og Jacinta","Oslo","1998","Aschehoug","","Norsk bokmål/Noruego"
"Skármeta, Antonio (1940)","Chile","Ardiente paciencia (El cartero de Neruda)","1985","Roman/Novela","Ofstad, Knut","Postmannen og Pablo Neruda, eller Brennende tålmodighet","Oslo","1997","Pax","Hansen, Inger Elisabeth (Etterord/Epílogo)","Norsk bokmål/Noruego"
"Unamuno, Miguel de (1864-1936)","España","Niebla","1914","Roman/Novela","Rugstad, Christian","Tåke","Oslo","1999","Solum","","Norsk bokmål/Noruego"
"Barca, Calderón de la (1600-1681)","España","La vida es sueño","1635","Drama/Teatro","Näumann, Kari","Livet er drøm","Oslo","2000","Bokvennen","Worren, Arne (Innledning/Introducción)","Norsk bokmål/Noruego"
"Valle-Inclán, Ramón del (1866-1936)","España","Sonatas de otoño, de estío y de primavera. El marqués de Bradomín. Coloquios románticos","1902190319041910","Lyrikk/Poesía, Drama/Teatro","Rugstad, Christian","Sonater: markien av Bradomíns memoarer","Oslo","2001","Solum","","Norsk bokmål/Noruego"
"Castellanos, Rosario (1925-1974)","México","Poesía no eres tú","1972","Lyrikk/Poesía","Hansen, Inger Elisabeth","Brukne negler","Oslo","2001","Cappelen","Hansen, Inger Elisabeth (Etterord/Epílogo)","Norsk bokmål/Noruego"
"Cervantes Saavedra, Miguel de (1547-1616)","España","El ingenioso hidalgo don Quijote de la Mancha","16051615","Roman/Novela","Worren, Arne","Don Quijote : den skarpsindige lavadelsmann Don Quijote av La Mancha ","Oslo","2002","De Norske bokklubbene","Okri, Ben (Innledning/Introducción)","Norsk bokmål/Noruego"
"Cervantes Saavedra, Miguel de (1547-1616)","España","El  ingenioso  hidalgo  don  Quijote  de  la  Mancha ","16051615","Roman/Novela","Worren, Arne","Den skarpsindige lavadelsmann don Quijote av la Mancha","Oslo","2002, 2003, 2005, 2012","Aschehoug","","Norsk bokmål/Noruego"
"García Márquez, Gabriel (1927-2014)","Colombia","El coronel no tiene quien le escriba","1961","Roman/Novela","Risvik, Kjell","Ingen skriver til obersten","Oslo","1980, 2003","Gyldendal","","Norsk bokmål/Noruego"
"Azorín (José Augusto Trinidad Martínez Ruiz) (1873-1967)","España","Doña Inés","1925","Roman/Novela","Tønseth, Jan Jakob","Doña Inés (en historie om kjærlighet)","Oslo","2003","Solum","","Norsk bokmål/Noruego"
"Hierro, José (1922-2002)","España","Cuaderno de Nueva York","1998","Lyrikk/Poesía","Tønseth, Jan Jakob","New York-notater","Oslo","2004","Solum","Izquierdo, José María (Etterord/Epílogo)","Norsk bokmål/Noruego"
"Guillén, Nicolás (1902-1989)","Cuba","El gran zoológico","1967","Lyrikk/Poesía","Horgar, Fartein og Siri Olsen","Den store dyrehagen","Stamsund","2005","Orkana","Horgar, Fartein (Etterord/Epílogo)","Norsk bokmål/Noruego"
"Lindo, Elvira (1962)","España","Manolito Gafotas","1994","Roman/Novela","Rugstad, Christian","Manolito Brilleslange","Oslo","2005","Solum","","Norsk bokmål/Noruego"
"García Lorca, Federico (1898-1936) ","España","Romancero gitano","1928","Lyrikk/Poesía","Näumann, Kari","Sigøynerballader","Oslo","2005, 2007","Bokvennen","","Norsk bokmål/Noruego"
"Burgos, Julia de (1914-1953)","Puerto Rico","Canción de la verdad sencilla","1939","Lyrikk/Poesía","Hansen, Inger Elisabeth","Blå, klar","Oslo","2005","Cappelen","Hansen, Inger Elisabeth (Etterord/Epílogo)","Norsk bokmål/Noruego"
"García Lorca, Federico (1898-1936) ","España","Bodas de sangre","1931","Drama/Teatro","Näumann, Kari","Blodbryllup: tragedie i tre akter og syv bilder","Oslo","2006","Transit","","Norsk bokmål/Noruego"
"Bolaño, Roberto (1953-2003) ","Chile","Los perros románticos","1994","Lyrikk/Poesía","Tønseth, Jan Jakob og Kristina Solum","De romantiske hundene","Oslo","2008","Solum","Izquierdo, José María (Etterord/Epílogo)","Norsk bokmål/Noruego"
"Neruda, Pablo (1904-1973)","Chile","El libro de las preguntas","1974","Lyrikk/Poesía","Josefsen, Øystein","Spørsmålenes bok","Oslo","2009","Koloritt","","Norsk bokmål/Noruego"
"Neruda, Pablo  (1904-1973)","Chile","Odas (Selección)","195419551957","Lyrikk/Poesía","Näumann, Kari","Oder","Oslo","2009","Bokvennen","","Norsk bokmål/Noruego"
"Gelinek, Joseph. Psudónimo de Máximo Pradera (1958)","España","La décima sinfonía","2008","Roman/Novela","Risvik,  Kari  og/y  Kjell  Risvik ","Den tiende Symfoni","Oslo","2010","Bazar","","Norsk bokmål/Noruego"
"Neruda, Pablo (1904-1973)","Chile","Confieso que he vivido","1974","Erindringer/Memorias","Risvik, Kjell","Jeg tilstår at jeg har levet : erindringer ","Oslo","1975","Gyldendal","","Norsk bokmål/Noruego"
"Cabezas, Omar (1950)","Nicaragua","La montaña es algo más que una inmensa estepa verde","1979","Roman/Novela","Møgster, Anne M.","Fjellet er mer enn en grenseløs grønn steppe ","Oslo","1985","Gyldendal","Carlos Fuentes (Forord/Prólogo), Møgster, Anne M. (Etterord/Epílogo)","Norsk bokmål/Noruego"
